Name,Type,Cat.,Power,Acc.,PP,TM,Effect,Prob. (%)
Throat Chop,Dark,,80,100,15,,Prevents use of sound moves for two turns.,
Thunder,Electric,,110,70,10,TM25,May paralyze opponent.,30
Thunder Fang,Electric,,65,95,15,,May cause flinching and/or paralyze opponent.,10
Thunder Punch,Electric,,75,100,15,,May paralyze opponent.,10
Thunder Shock,Electric,,40,100,30,,May paralyze opponent.,10
Thunder Wave,Electric,,—,90,20,TM73,Paralyzes opponent.,100
Thunderbolt,Electric,,90,100,15,TM24,May paralyze opponent.,10
Tickle,Normal,,—,100,20,,Lowers opponent's Attack and Defense.,—
Topsy-Turvy,Dark,,—,—,20,,Reverses stat changes of opponent.,—
Torment,Dark,,—,100,15,TM41,Opponent cannot use the same move in a row.,—
Toxic,Poison,,—,90,10,TM06,Badly poisons opponent.,—
Toxic Spikes,Poison,,—,—,20,,Poisons opponents when they switch into battle.,—
Toxic Thread,Poison,,—,100,20,,The user shoots poisonous threads to poison the target and lower the target's Speed stat.,
Transform,Normal,,—,—,10,,User takes on the form and attacks of the opponent.,—
Tri Attack,Normal,,80,100,10,,"May paralyze, burn or freeze opponent.",20
Trick,Psychic,,—,100,10,,Swaps held items with the opponent.,—
Trick Room,Psychic,,—,—,5,TM92,Slower Pokémon move first in the turn for 5 turns.,—
Trick-or-Treat,Ghost,,—,100,20,,Adds Ghost type to opponent.,—
Triple Kick,Fighting,,10,90,10,,Hits thrice in one turn at increasing power.,—
Trop Kick,Grass,,70,100,15,,Lowers opponent's Attack.,
Trump Card,Normal,,—,∞,5,,"The lower the PP, the higher the power.",—
Twineedle,Bug,,25,100,20,,Hits twice in one turn. May poison opponent.,20
Twinkle Tackle,Fairy,—,—,—,1,,Fairy type Z-Move.,
Twister,Dragon,,40,100,20,,May cause flinching. Hits Pokémon using Fly/Bounce with double power.,20
U-turn,Bug,,70,100,20,TM89,User switches out immediately after attacking.,—
Uproar,Normal,,90,100,10,,User attacks for 3 turns and prevents sleep.,—
V-create,Fire,,180,95,5,,"Lowers user's Defense, Special Defense and Speed.",100
Vacuum Wave,Fighting,,40,100,30,,User attacks first.,—
Veevee Volley,Normal,,—,∞,20,,Power increases when player's bond is stronger.,
Venom Drench,Poison,,—,100,20,,Lowers poisoned opponent's Special Attack and Speed.,—
Venoshock,Poison,,65,100,10,TM09,Inflicts double damage if the target is poisoned.,—
Vice Grip,Normal,,55,100,30,,,—
Vine Whip,Grass,,45,100,25,,,—
Vital Throw,Fighting,,70,∞,10,,"User attacks last, but ignores Accuracy and Evasiveness.",—
Volt Switch,Electric,,70,100,20,TM72,User must switch out after attacking.,—
Volt Tackle,Electric,,120,100,15,,User receives recoil damage. May paralyze opponent.,10
Wake-Up Slap,Fighting,,70,100,10,,"Power doubles if opponent is asleep, but wakes it up.",—
Water Gun,Water,,40,100,25,,,—
Water Pledge,Water,,80,100,10,,Added effects appear if preceded by Fire Pledge or succeeded by Grass Pledge.,—
Water Pulse,Water,,60,100,20,,May confuse opponent.,20
Water Shuriken,Water,,15,100,20,,Hits 2-5 times in one turn.,—
Water Sport,Water,,—,—,15,,Weakens the power of Fire-type moves.,—
Water Spout,Water,,150,100,5,,"The higher the user's HP, the higher the damage caused.",—
Waterfall,Water,,80,100,15,TM98,May cause flinching.,20
Weather Ball,Normal,,50,100,10,,Move's power and type changes with the weather.,—
Whirlpool,Water,,35,85,15,,"Traps opponent, damaging them for 4-5 turns.",—
Whirlwind,Normal,,—,—,20,,"In battles, the opponent switches. In the wild, the Pokémon runs.",—
Wide Guard,Rock,,—,—,10,,Protects the user's team from multi-target attacks.,—
Wild Charge,Electric,,90,100,15,TM93,User receives recoil damage.,—
Will-O-Wisp,Fire,,—,85,15,TM61,Burns opponent.,100
Wing Attack,Flying,,60,100,35,,,—
Wish,Normal,,—,—,10,,The user recovers HP in the following turn.,—
Withdraw,Water,,—,—,40,,Raises user's Defense.,—
Wonder Room,Psychic,,—,—,10,,Swaps every Pokémon's Defense and Special Defense for 5 turns.,—
Wood Hammer,Grass,,120,100,15,,User receives recoil damage.,—
Work Up,Normal,,—,—,30,TM01,Raises user's Attack and Special Attack.,—
Worry Seed,Grass,,—,100,10,,Changes the opponent's Ability to Insomnia.,—
Wrap,Normal,,15,90,20,,"Traps opponent, damaging them for 4-5 turns.",—
Wring Out,Normal,,—,100,5,,"The higher the opponent's HP, the higher the damage.",—
X-Scissor,Bug,,80,100,15,TM81,,—
Yawn,Normal,,—,—,10,,Puts opponent to sleep in the next turn.,—
Zap Cannon,Electric,,120,50,5,,Paralyzes opponent.,100
Zen Headbutt,Psychic,,80,90,15,,May cause flinching.,20
Zing Zap,Electric,,80,100,10,,"A strong electric blast crashes down on the target, giving it an electric shock. This may also make the target flinch.",
Zippy Zap,Electric,,50,100,15,,High critical-hit ratio.,
